,Date,Open,High,Low,Close,Volume,OpenInt
244,1962-12-20,0.6362,0.6362,0.6277,0.6362,1776671,0
245,1962-12-21,0.6362,0.6362,0.6277,0.6362,894299,0
246,1962-12-24,0.6362,0.6362,0.6277,0.6362,1085082,0
247,1962-12-26,0.6362,0.6362,0.6362,0.6362,1263940,0
248,1962-12-27,0.6362,0.6442,0.6362,0.6442,1395103,0
249,1962-12-28,0.6442,0.6442,0.6362,0.6442,1311636,0
250,1962-12-31,0.6442,0.6442,0.6362,0.6362,989687,0
251,1963-01-02,0.6362,0.6442,0.6277,0.6362,1454724,0
252,1963-01-03,0.6362,0.6442,0.6362,0.6442,3589114,0
253,1963-01-04,0.6442,0.6442,0.6442,0.6442,2802131,0
254,1963-01-07,0.6442,0.6442,0.6362,0.6362,2873676,0
255,1963-01-08,0.6362,0.652,0.6362,0.652,4006448,0
256,1963-01-09,0.652,0.652,0.6442,0.652,3088307,0
257,1963-01-10,0.652,0.6602,0.652,0.6602,3946833,0
258,1963-01-11,0.6602,0.6602,0.652,0.6602,1562041,0
259,1963-01-14,0.6602,0.6602,0.652,0.652,1776671,0
260,1963-01-15,0.652,0.652,0.652,0.652,2003227,0
261,1963-01-16,0.652,0.652,0.652,0.652,2384794,0
262,1963-01-17,0.652,0.652,0.6442,0.652,1311636,0
263,1963-01-18,0.652,0.6602,0.652,0.652,834677,0
264,1963-01-21,0.652,0.6602,0.652,0.652,1728976,0
265,1963-01-22,0.652,0.652,0.652,0.652,810829,0
266,1963-01-23,0.652,0.6602,0.652,0.6602,2468261,0
267,1963-01-24,0.6602,0.6602,0.652,0.6602,1252016,0
268,1963-01-25,0.6602,0.6602,0.652,0.6602,1502420,0
269,1963-01-28,0.6602,0.6602,0.652,0.6602,1979380,0
270,1963-01-29,0.6602,0.6602,0.6602,0.6602,882371,0
271,1963-01-30,0.6602,0.6602,0.6442,0.6442,1490499,0
272,1963-01-31,0.6442,0.652,0.6442,0.652,1299713,0
273,1963-02-01,0.652,0.652,0.6442,0.652,953919,0
274,1963-02-04,0.652,0.652,0.6442,0.6442,1800521,0
275,1963-02-05,0.6442,0.652,0.6442,0.652,1728976,0
276,1963-02-06,0.652,0.652,0.652,0.652,1442802,0
277,1963-02-07,0.652,0.652,0.652,0.652,1275864,0
278,1963-02-08,0.652,0.652,0.652,0.652,1502420,0
279,1963-02-11,0.652,0.652,0.652,0.652,1645509,0
280,1963-02-12,0.652,0.652,0.6442,0.652,1347409,0
281,1963-02-13,0.652,0.6602,0.652,0.6602,2313250,0
282,1963-02-14,0.6602,0.6602,0.652,0.652,1108929,0
283,1963-02-15,0.652,0.6602,0.652,0.6602,1216242,0
284,1963-02-18,0.6602,0.6602,0.652,0.652,1597811,0
285,1963-02-19,0.652,0.652,0.6442,0.6442,1132778,0
286,1963-02-20,0.6362,0.6362,0.6201,0.6277,2074770,0
287,1963-02-21,0.6277,0.6442,0.6201,0.6362,1824370,0
288,1963-02-25,0.6362,0.6362,0.6277,0.6277,1645509,0
289,1963-02-26,0.6277,0.6277,0.6201,0.6201,1466649,0
290,1963-02-27,0.6201,0.6277,0.6201,0.6201,786983,0
291,1963-02-28,0.6201,0.6201,0.6037,0.6037,2289403,0
292,1963-03-01,0.6037,0.6122,0.6037,0.6122,1585893,0
293,1963-03-04,0.6122,0.6201,0.6037,0.6122,1323560,0
294,1963-03-05,0.6122,0.6122,0.6037,0.6037,1311636,0
295,1963-03-06,0.6037,0.6122,0.5957,0.6122,1335482,0
296,1963-03-07,0.6122,0.6201,0.6122,0.6201,1824370,0
297,1963-03-08,0.6201,0.6201,0.6201,0.6201,1347409,0
298,1963-03-11,0.6201,0.6277,0.6122,0.6277,1335482,0
299,1963-03-12,0.6201,0.6201,0.6201,0.6201,1526268,0
300,1963-03-13,0.6201,0.6277,0.6201,0.6201,1216242,0
301,1963-03-14,0.6201,0.6201,0.6122,0.6122,1299713,0
302,1963-03-15,0.6122,0.6201,0.6122,0.6122,1204322,0
303,1963-03-18,0.6122,0.6122,0.6037,0.6037,977764,0
304,1963-03-19,0.6037,0.6037,0.6037,0.6037,989687,0
305,1963-03-20,0.6037,0.6122,0.6037,0.6122,1347409,0
306,1963-03-21,0.6122,0.6122,0.6122,0.6122,1669356,0
307,1963-03-22,0.6122,0.6122,0.6037,0.6122,1156624,0
308,1963-03-25,0.6122,0.6122,0.6122,0.6122,1693206,0
309,1963-03-26,0.6122,0.6201,0.6122,0.6122,1585893,0
310,1963-03-27,0.6122,0.6201,0.6122,0.6122,1728976,0
311,1963-03-28,0.6201,0.6201,0.6201,0.6201,1764749,0
312,1963-03-29,0.6201,0.6277,0.6201,0.6201,1550115,0
313,1963-04-01,0.6201,0.6201,0.6201,0.6201,1359331,0
314,1963-04-02,0.6201,0.6201,0.6122,0.6122,2337096,0
315,1963-04-03,0.6122,0.6201,0.6037,0.6201,1740902,0
316,1963-04-04,0.6201,0.6277,0.6201,0.6201,1907836,0
317,1963-04-05,0.6201,0.6442,0.6201,0.6362,3326785,0
318,1963-04-08,0.6362,0.6442,0.6362,0.6362,1776671,0
319,1963-04-09,0.6362,0.6442,0.6362,0.6362,1788595,0
320,1963-04-10,0.6362,0.6362,0.6277,0.6362,1490499,0
321,1963-04-11,0.6362,0.6362,0.6277,0.6362,2062844,0
322,1963-04-15,0.6362,0.6442,0.6362,0.6442,2372867,0
323,1963-04-16,0.6442,0.652,0.6362,0.6442,1728976,0
324,1963-04-17,0.6442,0.652,0.6442,0.652,2885601,0
325,1963-04-18,0.652,0.652,0.6442,0.6442,1407027,0
326,1963-04-19,0.6442,0.652,0.6442,0.6442,953919,0
327,1963-04-22,0.6442,0.652,0.6442,0.6442,1705127,0
328,1963-04-23,0.652,0.6683,0.652,0.6683,7154381,0
329,1963-04-24,0.6683,0.6683,0.6602,0.6683,3648735,0
330,1963-04-25,0.6683,0.6683,0.6602,0.6602,1788595,0
331,1963-04-26,0.6602,0.6602,0.6602,0.6602,1860141,0
332,1963-04-29,0.6602,0.6602,0.652,0.6602,1466649,0
333,1963-04-30,0.6602,0.6602,0.652,0.652,1609738,0
334,1963-05-01,0.6602,0.6683,0.6602,0.6683,5008067,0
335,1963-05-02,0.6683,0.6762,0.6683,0.6762,3016764,0
336,1963-05-03,0.6762,0.6762,0.6683,0.6683,2098620,0
337,1963-05-06,0.6683,0.6762,0.6683,0.6762,2182087,0
338,1963-05-07,0.6762,0.6762,0.6683,0.6683,2194010,0
339,1963-05-08,0.6762,0.6843,0.6762,0.6843,3350634,0
340,1963-05-09,0.6843,0.6843,0.6843,0.6843,2241705,0
341,1963-05-10,0.6843,0.6843,0.6762,0.6843,1943605,0
342,1963-05-13,0.6843,0.6843,0.6762,0.6762,1812443,0
343,1963-05-14,0.6762,0.6843,0.6762,0.6762,2003227,0
344,1963-05-15,0.6762,0.6843,0.6762,0.6843,2027074,0
345,1963-05-16,0.6843,0.6843,0.6762,0.6762,1717049,0
346,1963-05-17,0.6762,0.6843,0.6762,0.6843,1097003,0
347,1963-05-20,0.6843,0.6843,0.6762,0.6762,1347409,0
348,1963-05-21,0.6762,0.6843,0.6762,0.6843,1144699,0
349,1963-05-22,0.6843,0.6843,0.6762,0.6762,1156624,0
350,1963-05-23,0.6762,0.6843,0.6762,0.6843,1669356,0
351,1963-05-24,0.6843,0.6924,0.6843,0.6924,2706741,0
352,1963-05-27,0.6924,0.6924,0.6843,0.6924,1705127,0
353,1963-05-28,0.6924,0.6924,0.6843,0.6924,1359331,0
354,1963-05-29,0.6924,0.6924,0.6843,0.6924,1621660,0
355,1963-05-31,0.6924,0.7005,0.6924,0.7005,2349022,0
356,1963-06-03,0.7005,0.7005,0.6924,0.6924,1168547,0
357,1963-06-04,0.6924,0.7005,0.6924,0.6924,1287786,0
358,1963-06-05,0.6924,0.6924,0.6762,0.6843,1931684,0
359,1963-06-06,0.6843,0.6843,0.6762,0.6843,1061233,0
360,1963-06-07,0.6843,0.6924,0.6843,0.6843,1275864,0
361,1963-06-10,0.6843,0.6843,0.6762,0.6843,1466649,0
362,1963-06-11,0.6843,0.6843,0.6762,0.6762,1156624,0
363,1963-06-12,0.6762,0.6843,0.6762,0.6843,1657434,0
364,1963-06-13,0.6843,0.6843,0.6762,0.6762,1108929,0
365,1963-06-14,0.6762,0.6762,0.6762,0.6762,882371,0
366,1963-06-17,0.6762,0.6762,0.6602,0.6602,1669356,0
367,1963-06-18,0.6602,0.6683,0.6602,0.6683,1621660,0
368,1963-06-19,0.6683,0.6762,0.6683,0.6683,1490499,0
369,1963-06-20,0.6683,0.6762,0.6683,0.6762,2098620,0
370,1963-06-21,0.6762,0.6762,0.6683,0.6762,1228169,0
371,1963-06-24,0.6762,0.6762,0.6762,0.6762,965841,0
372,1963-06-25,0.6762,0.6843,0.6762,0.6762,1097003,0
373,1963-06-26,0.6762,0.6762,0.6602,0.6602,1395103,0
374,1963-06-27,0.6602,0.6683,0.6442,0.652,2146313,0
375,1963-06-28,0.652,0.6602,0.652,0.6602,1526268,0
376,1963-07-01,0.6602,0.6602,0.652,0.652,1097003,0
377,1963-07-02,0.652,0.6683,0.652,0.6602,1323560,0
378,1963-07-03,0.6683,0.6762,0.6683,0.6683,1418951,0
379,1963-07-05,0.6683,0.6762,0.6683,0.6683,834677,0
380,1963-07-08,0.6683,0.6683,0.6683,0.6683,846601,0
381,1963-07-09,0.6683,0.6762,0.6683,0.6683,1395103,0
382,1963-07-10,0.6683,0.6762,0.6683,0.6683,1466649,0
383,1963-07-11,0.6683,0.6683,0.6602,0.6683,1132778,0
384,1963-07-12,0.6683,0.6683,0.6602,0.6602,1204322,0
385,1963-07-15,0.6602,0.6602,0.652,0.652,763135,0
386,1963-07-16,0.652,0.6602,0.652,0.6602,1669356,0
387,1963-07-17,0.6602,0.6683,0.6602,0.6602,1562041,0
388,1963-07-18,0.6602,0.6683,0.6602,0.6602,786983,0
389,1963-07-19,0.6602,0.6602,0.652,0.652,1049308,0
390,1963-07-22,0.652,0.652,0.6442,0.6442,1120852,0
391,1963-07-23,0.6442,0.652,0.6362,0.6362,2039000,0
392,1963-07-24,0.6362,0.6442,0.6362,0.6442,1967454,0
393,1963-07-25,0.6442,0.652,0.6362,0.6362,1514346,0
394,1963-07-26,0.6362,0.6442,0.6362,0.6442,1418951,0
395,1963-07-29,0.6442,0.6442,0.6362,0.6362,1025461,0
396,1963-07-30,0.6442,0.652,0.6442,0.652,1323560,0
397,1963-07-31,0.652,0.652,0.6442,0.652,1705127,0
398,1963-08-01,0.652,0.652,0.652,0.652,906223,0
399,1963-08-02,0.652,0.6602,0.652,0.652,798906,0
400,1963-08-05,0.652,0.6602,0.652,0.6602,930071,0
401,1963-08-06,0.6602,0.6683,0.6602,0.6683,1311636,0
